"Directory","Count"
"C:\Windows\System32","4285"
"C:\Windows\SysWOW64","2631"
"C:\Program Files\WindowsApps\Microsoft.Copilot_1.25121.84.0_x64__8wekyb3d8bbwe","491"
"C:\Program Files\WindowsApps\Microsoft.YourPhone_1.26012.101.0_x64__8wekyb3d8bbwe","470"
"C:\Program Files (x86)\HitPaw\HitPaw Univd","406"
"C:\Program Files\WindowsApps\Microsoft.GetHelp_10.2409.33293.0_x64__8wekyb3d8bbwe","359"
"C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2025.11120.5001.0_x64__8wekyb3d8bbwe","324"
"C:\Program Files\Git\usr\bin","319"
"C:\Program Files\WindowsApps\12030rocksdanister.LivelyWallpaper_1.0.160.0_x64__97hta09mmv6hy","318"
"C:\Windows\Microsoft.NET\Framework64\v4.0.30319","307"
"C:\Windows\Microsoft.NET\Framework\v4.0.30319","305"
"C:\Program Files\PowerShell\7","299"
"C:\Program Files\WindowsApps\12030rocksdanister.LivelyWallpaper_1.0.160.0_x64__97hta09mmv6hy\Build","293"
"C:\Program Files\WindowsApps\Microsoft.DesktopAppInstaller_1.27.460.0_x64__8wekyb3d8bbwe\DotNet","292"
"C:\Program Files\WSL\wslsettings","277"
"C:\Program Files\Microsoft Office\root\Office16","272"
"C:\Program Files\WindowsApps\MicrosoftWindows.CrossDevice_1.26012.79.0_x64__cw5n1h2txyewy","247"
"C:\Windows\Installer","232"
"C:\Users\Agent Lee\.cursor\extensions\ms-vscode.cpptools-1.23.6-win32-x64\debugAdapters\bin","197"
"C:\Users\Agent Lee\.vscode\extensions\ms-dotnettools.csharp-2.120.3-win32-x64\.debugger\x86_64","189"
"C:\Users\Agent Lee\AppData\Roaming\Code\User\globalStorage\ms-dotnettools.vscode-dotnet-runtime\.dotnet\10.0.3~x64\shared\Microsoft.NETCore.App\10.0.3","186"
"C:\Users\Agent Lee\.cursor\extensions\ms-dotnettools.csharp-2.63.32-win32-x64\.debugger\x86_64","185"
"C:\Program Files\dotnet\shared\Microsoft.NETCore.App\9.0.6","183"
"C:\Program Files (x86)\dotnet\shared\Microsoft.NETCore.App\8.0.24","181"
"C:\Program Files\WindowsApps\Microsoft.MicrosoftOfficeHub_19.2602.54091.0_x64__8wekyb3d8bbwe\shared\Microsoft.NETCore.App\8.0.20","181"
"C:\Program Files\dotnet\shared\Microsoft.NETCore.App\8.0.24","181"
"C:\Program Files\Microsoft Visual Studio\2022\Community\dotnet\net8.0\runtime\shared\Microsoft.NETCore.App\8.0.24","181"
"C:\Program Files (x86)\Microsoft Visual Studio\2022\BuildTools\Common7\IDE\PrivateAssemblies","173"
"C:\Program Files (x86)\Microsoft Visual Studio\2019\BuildTools\Common7\IDE\PrivateAssemblies","171"
"C:\Program Files\WindowsApps\Microsoft.MicrosoftOfficeHub_19.2602.54091.0_x64__8wekyb3d8bbwe","167"
"C:\Program Files\Microsoft OneDrive\26.026.0209.0004","165"
"C:\Program Files\PowerShell\7\ref","164"
"C:\Program Files\dotnet\packs\Microsoft.NETCore.App.Ref\9.0.6\ref\net9.0","164"
"C:\Program Files\WindowsApps\Microsoft.DesktopAppInstaller_1.27.460.0_x64__8wekyb3d8bbwe\DotNet\ref","163"
"C:\Program Files\WindowsApps\Microsoft.GetHelp_10.2409.33293.0_x64__8wekyb3d8bbwe\ref","159"
